Number,Name,Link,Image Address,Color,Finish
19,Mood Change - Bridal Pink To Brighter Pink,https://www.dndgel.com/products/dc-mood-change-19-bridal-pink-to-brighter-pink,https://www.dndgel.com/cdn/shop/products/19.jpg?v=1762198583&width=823,Pink,Mood Change
67,Fire Engine Red,https://www.dndgel.com/products/fire-engine-red-067,https://www.dndgel.com/cdn/shop/products/dc_swatch_067.jpg?v=1762198921&width=823,Red,Cream
39,Fire Brick,https://www.dndgel.com/products/fire-brick-039,https://www.dndgel.com/cdn/shop/products/dc_swatch_039.jpg?v=1762198939&width=823,"Pink, Red",Cream
204,Marigold,https://www.dndgel.com/products/marigold-diva-204,https://www.dndgel.com/cdn/shop/files/DV-204-HS.jpg?v=1755192928&width=823,Yellow,Shimmer
243,Imperial Jade,https://www.dndgel.com/products/imperial-jade-diva-243,https://www.dndgel.com/cdn/shop/files/DV-243-HS-SYD-3.jpg?v=1755192707&width=823,Green,Shimmer
729,Ambrosia,https://www.dndgel.com/products/ambrosia-729,https://www.dndgel.com/cdn/shop/files/729-1.jpg?v=1755194475&width=823,Blue,Shimmer
41,With GRAYce,https://www.dndgel.com/products/with-grayce-diva-041,https://www.dndgel.com/cdn/shop/files/DIVA-041-SWATCH_2.jpg?v=1755192576&width=823,"Neutral, Purple",Cream
299,Dream World,https://www.dndgel.com/products/dream-world-299,https://www.dndgel.com/cdn/shop/files/DC-299-SWATCH.png?v=1755194797&width=823,Neutral,Shimmer
34,Fur-st Place,https://www.dndgel.com/products/9d-cat-eye-35,https://www.dndgel.com/cdn/shop/files/DIVA-9DCE-34_3.jpg?v=1755192448&width=823,Orange,Cat Eye
26,Chartreux Cat,https://www.dndgel.com/products/dc-cat-eyes-26-chartreux-cat,https://www.dndgel.com/cdn/shop/products/cateyes26-1.jpg?v=1762198671&width=823,Purple,Cat Eye
20,Chubby Himalayan,https://www.dndgel.com/products/dc-cat-eyes-20-chubby-himalayan,https://www.dndgel.com/cdn/shop/products/cateyes20-1.jpg?v=1762198675&width=823,Blue,Cat Eye
43,Dark Salmon,https://www.dndgel.com/products/dark-salmon-043,https://www.dndgel.com/cdn/shop/files/DC-043-SWATCH.jpg?v=1755193571&width=823,"Purple, Blue",Cream
981,Chestnut Cassette,https://www.dndgel.com/products/chestnut-cassette-981,https://www.dndgel.com/cdn/shop/files/DND-981-SWATCH.png?v=1755193320&width=823,"Brown, Neutral",Shimmer
248,Cherry On Top,https://www.dndgel.com/products/cherry-on-top-diva-248,https://www.dndgel.com/cdn/shop/files/DV-248-HS.png?v=1755192697&width=823,Red,Cream
250,Cedar Brown,https://www.dndgel.com/products/cedar-brown-diva-250,https://www.dndgel.com/cdn/shop/files/DV-250-HS-KRI_21481e91-dfed-4070-a726-c682f7cba831.jpg?v=1755192694&width=823,Brown,Cream
151,Castles In Spain,https://www.dndgel.com/products/castles-in-spain-diva-151,https://www.dndgel.com/cdn/shop/files/DV-151-HS.jpg?v=1755192879&width=823,"Neutral, Brown",Shimmer
2442,Catch Me Sheering,https://www.dndgel.com/products/catch-me-sheering-2442,https://www.dndgel.com/cdn/shop/files/DC-2442-SWATCH.jpg?v=1765823799&width=823,Pink,Sheer
278,California Grace,https://www.dndgel.com/products/california-grace-278,https://www.dndgel.com/cdn/shop/products/DP04dot_8be71160-3d92-4eb2-818d-df6df329c4db.jpg?v=1762198430&width=823,Pink,Cream
635,Burgandy Mist,https://www.dndgel.com/products/burgandy-mist-635,https://www.dndgel.com/cdn/shop/files/DND-635-SWATCH.jpg?v=1760558347&width=823,"Red, Blue",Shimmer
116,Blushing Face,https://www.dndgel.com/products/blushing-face-116,https://www.dndgel.com/cdn/shop/files/DC-116-SWATCH.jpg?v=1755193661&width=823,Pink,Cream
3,Blue Violet,https://www.dndgel.com/products/blue-violet-003,https://www.dndgel.com/cdn/shop/products/003.jpg?v=1756507716&width=823,"Purple, Blue",Shimmer
437,Blue De France,https://www.dndgel.com/products/blue-de-france-437,https://www.dndgel.com/cdn/shop/files/DND-437-SWATCH.png?v=1756934220&width=823,Blue,Cream
530,Blue Lake,https://www.dndgel.com/products/blue-lake-530,https://www.dndgel.com/cdn/shop/files/DND-530-HS_2.png?v=1759857080&width=823,Blue,Shimmer
23,Blossom Orchid,https://www.dndgel.com/products/blossom-orchid-023,https://www.dndgel.com/cdn/shop/files/DC-023-DOT.png?v=1762198950&width=823,"Purple, Pink",Shimmer
283,Army Green,https://www.dndgel.com/products/diva-283,https://www.dndgel.com/cdn/shop/files/DV-283-HS_8cb42d33-1f73-4441-b68c-f699dd22ba85.png?v=1755192664&width=823,Green,Shimmer
52,Biscuits N' Honey,https://www.dndgel.com/products/biscuits-n-honey-diva-052,https://www.dndgel.com/cdn/shop/files/DV-052-SWATCH.png?v=1755192554&width=823,Yellow,Cream
143,Banana Crepe,https://www.dndgel.com/products/banana-crepe-143,https://www.dndgel.com/cdn/shop/files/DC-143-HS.png?v=1755193692&width=823,Pink,Cream
497,Baby Girl,https://www.dndgel.com/products/baby-girl-497,https://www.dndgel.com/cdn/shop/files/DND-497-SWATCH_2.jpg?v=1755193834&width=823,Pink,Cream
112,Apple Cider,https://www.dndgel.com/products/apple-cider-112,https://www.dndgel.com/cdn/shop/files/DC-112-SWATCH.png?v=1755193657&width=823,Orange,Cream
427,Air Of Mint,https://www.dndgel.com/products/air-of-mint-427,https://www.dndgel.com/cdn/shop/files/DND-427-SWATCH.jpg?v=1755193733&width=823,Blue,Shimmer
140,Little Piggy,https://www.dndgel.com/products/little-piggy-diva-140,https://www.dndgel.com/cdn/shop/files/DV-140-HS-4.jpg?v=1755193125&width=823,Pink,Cream
184,Clean Pallet,https://www.dndgel.com/products/clean-pallet-diva-184,https://www.dndgel.com/cdn/shop/files/DV-184-FS.jpg?v=1755192959&width=823,Pink,Cream
194,Clique-Bait,https://www.dndgel.com/products/clique-bait-diva-194,https://www.dndgel.com/cdn/shop/files/DV-194-FS.jpg?v=1755192941&width=823,Purple,Shimmer
2538,Mandarin Glow,https://www.dndgel.com/products/mandarin-glow-2538,https://www.dndgel.com/cdn/shop/files/mandarin_glow_2538.jpg?v=1755193359&width=1346,Orange,Cream
2465,Peachkini,https://www.dndgel.com/products/peachkini-2465?_pos=1&_psq=Peachkini&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-2465.jpg?v=1767028377&width=1346,Neutral,Sheer
2459,Barefoot,https://www.dndgel.com/products/barefoot-2459?_pos=2&_psq=Barefoot&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-2459-SWATCH.jpg?v=1766622397&width=1346,Neutral,Sheer
2539,Citrus Affairs,https://www.dndgel.com/products/citrus-affairs-2539?_pos=1&_psq=Citrus+Affairs&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/2539-citrus-affairs.jpg?v=1755193363&width=1346,Orange,Cream
113,Cupcake Frosting,https://www.dndgel.com/products/cupcake-frosting-diva-113?_pos=1&_psq=Cupcake+Frosting&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DIVA-113-HS.jpg?v=1755193175&width=1346,Pink,Cream
